Company Name,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03
20 Microns Ltd.,-3.724928,-0.439883,-1.626016,0.637959,9.693053,-0.164204,1.300813,-0.488599,-0.970874,-2.857143,0.55788,3.039074,-0.877193,1.52207,3.955696,-1.030928,0.574713,0,6.902655,-0.364299,-0.136799,1.486989,-1.136364,2.363636,-0.782473,0.883392,0.337838,-2.819237,0.394218,3.698435,1.75219,0.140252,2.012384,-0.385604,1.12202,0.574713,-2.008929,2.194787,-0.525624,-0.899743,1.766304,11.348465,-2.466793,-2.181208,-2.181208,0.956938,-0.197628,1.973001,-3.153611,3.241297,1.136364,5.972046,0.101626,-5.351171,3.256936,-0.465116,0,-2.5,4.878049,-0.779221,-2.110818,-3.791469,0,-0.879765,-0.881057,-1.717791,1.994681,-1.612903,6.344411,0.576369,-4.878049,5.144033,-0.853242,0.191571,-5.950653,-1.886792,-5.206738,-1.223776,3.839122,0,-0.618047,-1.212938,-1.619433,1.151079,-1.29199,0.706991,-0.413907,3.582555,0.842697,4.526046,-1.347936,0.955691,1.764234,-6.009245,1.280228,-1.664447,-2.409639,1.070529,-1.081471,1.80791,1.293303,1.453036,0.85034,0.053648,-0.054885,3.007038,0.22338,12.832194,0.966767,1.317957,0.963597,-1.97562,0.697168,4.748823,1.964987,-0.108814,-1.756342,-0.558988,2.855177,0.48951,-0.521286,-1.498869,-1.066547,-1.950041,0.23753,1.045003,-1.988218,1.9869,-0.033962,5.421344,0.145501,-0.717181
3I Infotech Ltd.,-4.081633,-3.743316,0,4.790419,-3.508772,-0.617284,0,0.641026,5.586592,0,-3.04878,0,-0.819672,3.571429,-4.545455,4.109589,3.225806,4.918033,-2.564103,0,0,1.086957,0,0,-1.162791,-3.797468,0.990099,-0.970874,0.961538,7.476636,2.307692,0.925926,1.801802,-2.608696,-0.970874,3.061224,-0.900901,-1.086957,-2.298851,-3.488372,1.234568,0,0,0,9.589041,-3.90625,2.631579,0,1.020408,-1.041667,7.594937,1.408451,0,-1.449275,-1.470588,-5.063291,0,1.515152,-2.898551,1.315789,-5.063291,-1.408451,0,-4.255319,0,-2.439024,0,-2.5,-2.5,0,-2.5,-3.703704,-3.030303,3.225806,3.846154,-2.040816,-3.896104,4.761905,1.694915,1.492537,4.878049,-5,0,1.360544,4.605263,-2.777778,-1.005025,-1.06383,4.968944,4.9445785,4.920213,-4.99515,3.669222,-1.395939,-0.290698,-2.659069,0.609756,-0.949367,-0.952381,3.361345,2.777778,0.228571,0.91954,-0.817757,0.866337,2.845528,-1.987768,2.04461,0.305344,-0.160514,-0.147929,4.661654,-0.152439,-0.736196,-1.355014,-2.821317,7.464325,1.567657,-0.307062,0.253807,-1.765448,-4.520548,3.432624,-0.403986,-0.227402,-0.124494,1.563068,-1.206065,0.250089,-3.697422,-3.497357,-3.77616
3M India Ltd.,-3.215285,4.871358,0.307548,1.084368,-0.209376,-0.703276,2.021573,-0.607145,-0.636231,-1.995986,0.564359,-1.230988,-0.075332,-0.678432,0.662116,3.289603,-2.227952,0.156437,-1.11504,-0.651517,1.303001,1.727519,0.310628,0.155955,-1.298235,-0.682773,2.47326,-1.468903,-0.52745,0.994748,2.13584,-0.047792,2.088467,-1.77596,-0.294701,2.879365,-0.809502,-1.320229,-1.293075,-0.035866,-0.094188,-1.150482,-1.423734,-0.979232,-1.239002,-0.047593,0.742045,1.941648,0.219247,-2.339376,1.964032,0.548444,-0.240124,-1.449778,-2.116246,3.784085,-0.713737,0.025563,0.326663,0.936942,-2.484805,-0.326739,0.857356,0.562415,-0.935154,0.748877,0.929034,-0.496138,-0.811721,3.835797,0.049112,7.981028,-0.738823,1.580962,-1.666854,-0.563511,-3.074995,-0.502997,-0.226523,4.521794,-0.16798,-1.22709,2.109472,2.398591,0.171018,0.880168,-0.694847,-0.729007,6.146237,0.59488,-1.956001,0.53875,1.252845,2.386571,-0.965207,0.863603,-0.261778,3.69062,-2.604458,-1.632552,0.39898,2.157843,1.075717,-0.198505,-0.337008,2.418321,4.303356,-0.567872,-0.281049,1.353886,-0.80421,4.068833,-1.676206,3.049109,0.557815,2.611421,6.320076,2.236778,4.265482,-0.895152,1.478981,-1.811278,-1.768101,-0.795063,1.431153,-2.00457,4.178847,0.634009,-0.396701,-0.104433,-0.641551,3.575411
63 Moons Technologies Ltd.,-4.987945,-2.031687,-0.49232,-2.692834,-2.999045,-2.040369,-2.78474,-1.102743,-0.293902,2.883389,2.972583,13.532721,4.086538,0.339088,0.859504,-0.602611,-2.146986,-0.933748,-2.235861,1.881188,-1.063377,8.718215,0,1.435095,-1.095732,-1.686446,0.758017,-1.302546,0.394737,2.747604,0.928218,0.820793,1.914894,-2.189781,-0.501882,-0.198544,-0.065402,1.633259,-1.647059,1.50079,-0.743187,0.514139,3.520626,4.970646,-2.023957,-2.918018,0,-4.525386,-0.165654,-0.701531,1.099612,3.080229,2.24359,2.505527,-0.066401,1.987768,-1.691542,-3.705722,2.977346,1.94846,9.960509,-4.228487,-0.089206,4.892798,-3.9686,-1.960784,-0.818331,0.672108,-1.165049,-1.997147,-5.4371,2.219756,3.062117,4.980843,-1.433225,0.718907,-4.994125,-0.436999,9.540636,9.959467,2.957835,1.856764,0.310366,-0.143988,-3.680634,-1.292135,-1.347709,-0.64071,-1.487779,-0.215054,-0.76087,0.959693,4.993097,-4.98363,-4.645422,1.619891,-4.988175,4.989905,-0.4752,4.997111,1.51049,-0.739599,-2.411128,0.66072,0.179319,2.48911,3.781726,0,1.037652,3.502894,12.358773,-1.437077,1.425943,2.020018,0.96043,4.993598,-1.23599,0.65523,-1.166788,0,3.061102,-0.2104,0.355385,5,-0.819175,2.599974,9.996159,4.996041,4.997968,1.695488,-4.99622,-1.998315
A 2 Z Infra Engg. Ltd.,-0.985222,-4.242424,4.927536,4.88959,3.515625,1.923077,2.690583,-4.987531,-3.107345,0.3125,-4.390244,0.327869,0.643087,2.389078,-0.664452,1.22164,-0.434783,-1.619433,0.202429,1.666667,1.132075,2.396514,-1.416431,-0.74813,-0.957854,-4.414587,-0.483092,-4.342723,1.445466,1.575931,0.787402,0.353357,4.255319,-3.033839,-0.246305,0.230947,-0.722394,0.621891,-2.224824,-1.692866,-0.938338,0.552486,0.408719,-3.301887,-0.366748,0.796813,0,-4.347826,-1.291513,-3.298969,4.010025,-1.091703,0.486618,-19.292605,4.72103,0,0.384615,4.545455,5,-4.87106,0.560224,-6.547619,-3.149606,-4.608295,-2.051282,-2.358491,3.468208,-1.117318,-0.657895,6.47482,-1.098901,1.612903,1.333333,3.896104,-3.508772,-2.439024,-4.761905,-1.219512,0,-1.219512,3.191489,-2.150538,-1.176471,0,-2.666667,3.296703,0,-0.943396,3.370787,-2.325581,5.319149,-4.958678,4.972376,-3.891051,4.469274,0,-0.3663,1.22449,1.010101,2.145923,-0.401606,-0.483092,-0.980392,0,0,0.568182,0.719424,0,-0.763359,6,-0.689655,0.729927,-5.042017,0.520833,0,-1.826484,1.73913,1.465201,-1.829268,1.886792,4.982206,4.87106,-2.008032,1.939334,-2.039691,-4.195433,1.739652,2.276812,4.997827,-0.2,-2.777778,-3.049645
A B B India Ltd.,3.365973,-0.946182,1.751679,-0.497441,1.087124,-0.376721,-0.094029,2.015944,-1.618939,-1.711005,-0.71649,3.65648,-0.298541,-0.465601,0.2574,0.671579,-1.21117,1.367832,-2.905654,1.023184,0.098796,0.22189,-1.131818,3.436731,1.880865,1.999588,1.073537,0.158391,0.32476,1.664886,0.918189,0.912981,1.527163,-0.652765,0.209083,1.322039,0.469083,0.109739,0.613816,0.16212,-0.615453,-0.695677,-0.950577,-0.910282,1.135422,2.9518,0.222462,1.545159,1.399515,-0.613175,1.792269,0.727543,-0.087816,-0.951979,5.872372,1.615812,1.785578,0.60491,0.163259,0.083657,-0.121531,-0.317601,-0.024956,0.353383,0.461608,-1.941308,0.72161,0.055287,-0.787371,-1.580627,-1.134657,6.126617,2.317787,0.594715,2.038272,3.444489,-3.535917,0.532195,0.778078,-0.297135,0.260567,2.47269,-0.633981,-2.035641,-0.00362,5.041699,1.081701,0.750074,-1.350367,2.749169,6.868651,-1.031992,-0.080523,1.345519,1.292274,3.573314,-0.061968,1.739495,-0.402563,0.510607,2.074176,3.077231,2.959049,-0.480897,-0.044706,0.875713,3.516674,-0.77548,0.18613,2.389815,0.269774,0.810416,0.819153,-0.084111,0.960641,4.139914,0.687063,-1.229452,0.301183,1.297905,1.377114,0.644915,-1.760374,0.680823,0.756046,-0.964535,0.034335,0.357005,3.137893,2.715344,-4.068264,0.106491
A C C Ltd.,-0.561409,-1.857153,2.766315,-0.947312,-0.678756,-2.707682,0.153646,2.629474,0.153791,-1.421397,0.277869,-1.257385,-3.418775,2.835385,2.323358,1.185137,-2.050925,1.453915,-0.418652,-0.661395,0.803823,2.065929,0.25191,-0.27423,0.368606,-0.526949,1.069452,0.213637,1.255478,0.720851,0.069229,1.69697,1.610749,-1.043125,-0.42328,1.909863,-0.577628,0.116197,-0.753188,0.115527,-0.604572,0.671386,-0.552334,-0.867756,0.557573,-0.743591,-0.597134,-1.082677,1.766479,3.451963,3.759631,1.725628,0.905145,-0.570056,2.223214,1.482443,1.919308,2.650368,-0.199979,2.997898,-0.201792,-1.296725,-1.192283,1.265494,1.316579,-1.618133,2.336433,0.379188,-0.509274,-1.756448,-4.518018,3.643855,5.070397,-0.157208,3.33928,-1.502902,-5.342309,1.036871,-0.175555,0.741507,-1.856514,-1.791072,-3.777932,1.558123,0.303668,0.03022,-1.863082,1.273266,1.118793,-0.730923,1.990952,-0.139762,2.426904,3.149891,1.437207,0.020921,-2.013253,-0.450563,-1.545064,2.139172,0.485013,1.75228,2.832928,1.957002,-0.255326,3.368957,2.177248,2.540132,0.685381,-1.178826,0.074489,3.540459,0.259929,0.796454,0.063593,0.200342,1.868061,1.23948,2.178179,1.53213,0.253425,1.980416,-0.680698,-0.00386,0.820275,1.21411,-0.49316,1.55354,-0.359241,0.709807,-0.369802,-1.092103
A D F Foods Ltd.,-0.677201,5.967078,0.666667,-0.892061,6.533101,-2.783577,2.254545,-0.323102,-0.849858,0.213371,-1.825095,-0.92437,0.076982,0.581818,-0.541796,12.244898,2.898551,-0.214018,6.48038,3.737811,0.866739,0.449438,2.416918,-1.466276,-0.28169,-2.122777,0.10989,6.553723,-2.720307,0.441413,4.989963,3.10725,0.321773,-2.872821,-0.891938,-0.744346,-0.911162,0.274574,-1.763424,7.549669,-1.669101,-2.409887,0.99198,-4.66197,-0.916272,2.537879,-1.775984,0.123548,1.485356,-2.170284,1.740295,0.329083,1.584272,-4.051362,1.349325,0.766355,3.294388,-0.370066,8.247903,-0.60141,0.489496,-1.82549,0.275735,-0.889504,1.706688,-1.16404,3.304161,3.622563,1.170458,-0.256586,-6.917796,1.46225,0.024254,0.570692,1.26385,1.785985,-2.396211,-0.772155,1.012566,2.132386,8.847911,0.259189,-3.507642,-0.351288,-1.829427,2.906557,-1.201923,-4.839981,-0.595017,-0.383726,-2.742567,-0.528061,4.194902,-0.063529,1.044889,7.970311,-0.479254,-2.974427,-1.466376,-2.176043,3.850283,2.365171,0.501696,0.321037,1.259331,5.365281,0.605352,10.356083,-0.013395,-1.17785,-0.037371,2.879115,0.050362,-0.333333,1.993142,-0.488827,1.188069,10.789133,0.928628,-0.457481,-2.550911,-0.093197,-1.341981,-1.593323,0.710838,-2.794118,4.475524,-0.090104,3.860326,2.094735,0.641711,-0.591266
A G I Greenpac Ltd.,1.908657,2.122528,3.682209,-0.367797,0.664829,0.464723,0.187041,-1.822354,0.287068,-0.795921,2.876828,0.255868,-2.726131,-1.229565,2.427965,-9.79366,-1.257272,1.587902,-0.355999,5.559232,-0.166556,0.054745,3.550678,0.161958,-0.100705,-1.619148,-0.811688,-0.460976,-1.195219,1.507688,0.445274,1.362774,0.455955,-1.096078,-1.144492,5.18641,0.250331,-1.919746,-0.679256,0.772201,3.120867,0.646998,3.070388,-3.133849,0.487271,-2.768438,-0.022738,-1.941619,-1.807777,-1.982189,1.821217,-1.03278,3.389556,-1.539646,5.879733,-2.733915,1.667027,4.339583,1.546861,0.865714,0.371264,-1.457574,0.547945,-1.555901,-1.098901,-2.505967,1.802757,-0.21322,8.240535,-0.559701,-3.881701,2.802548,5.835806,0.513875,-2.960222,0.090909,-3.623747,0,-1.649746,0.340964,0.978307,-5.360897,-4.018717,-2.10325,-0.390244,2.404255,4.708798,-1.267578,-0.500341,-0.706033,-3.663226,-1.414761,0.789474,1.716455,-0.263852,-0.654692,-3.272231,-0.629887,-1.406402,10.735897,11.25863,5.947661,4.063884,-0.353357,-1.118501,-1.284764,2.915365,1.904013,3.373313,1.54447,0.312772,2.38905,-0.135639,-3.14088,-1.906874,0.057513,-0.67332,4.812869,0.128299,-2.319328,1.950712,-1.29467,-0.092212,-0.707943,0.302227,0.334291,1.405947,-0.477228,1.246894,7.430046,-2.997483,-2.293578
A I A Engineering Ltd.,-0.764551,2.719793,-1.845765,0.977789,4.639114,1.577185,-0.138158,1.922509,1.158824,-0.043937,-1.29599,0.930701,0.195933,0.95257,3.509223,0.130883,0.697189,4.68148,0.067814,-1.140876,0.557621,1.676254,4.750471,-0.974659,-3.213518,0.207612,4.958425,0.092408,-0.264602,0.36583,0.363552,0.747254,2.946783,-0.620047,0.131846,2.217716,-0.228409,2.083911,0.794625,-0.343572,1.466548,-0.090232,-0.372716,1.480665,-1.889001,-1.809289,-0.898358,0.236439,0.57117,-2.079365,0.708268,-0.105948,1.69418,1.748162,-1.051355,5.078197,-0.148841,-1.098428,-0.267442,-2.234439,0.637755,0.908424,2.500286,-2.420809,-0.746993,-0.184631,0.676696,-0.212411,-0.332326,-1.330445,-2.642608,6.631716,2.263839,2.37187,-1.405037,-0.349408,-1.368626,4.870369,-1.105808,-3.024683,-1.035088,1.70978,0.027491,3.955231,-0.925458,-1.331524,-0.451194,0.100065,2.988002,1.785528,-1.618613,2.681132,2.706928,0.588408,-0.93019,1.165835,1.45049,8.376552,2.222529,1.000063,3.316362,0.139682,1.625708,0.011112,-0.767951,3.881201,-0.945459,-0.079163,0.828883,3.127787,-1.831204,-1.582265,-0.128382,0.327026,0.694584,-0.428322,0.282678,5.73282,-1.559441,0.744924,0.672084,-0.319948,2.039047,-0.845358,-0.873509,1.078051,-2.095348,0.592184,0.114748,1.526791,-1.975316,-0.137056
A M D Industries Ltd.,2.564103,-1.609195,2.620087,0.881057,0.208333,-2.692998,-3.119266,0,1.960784,0.843882,4.018913,0.724638,2.232143,-2.335456,-5.172414,0.383142,0.787402,-0.387597,-1.724138,0.826446,-0.793651,5.194805,-3.353057,2.875399,0.658979,0.776699,-5.892548,-0.94518,-0.925926,1.102941,-0.140056,-2.649007,1.194539,1.353638,-0.874126,0.859107,-1.149425,-4.524181,0.375235,-1.522843,-0.909091,5.651491,1.227831,-2.125506,-0.650054,1.246883,4.826546,-3.231598,0,-5,0.4662,4.816514,0.377358,-4.116223,0.721154,7.692308,-1.398601,0,-1.801802,1.488834,-3.892944,-5.432099,-3.783784,-4.377104,0.898204,-2.967359,2.666667,-0.909091,6.164384,0,-2.208202,1.442308,1.532567,-0.882353,-2.8125,1.470588,-5.263158,4.037267,-1.557632,-1.910828,-0.255102,1.639344,8.786611,0.574713,-0.824176,2.905569,-0.180832,2.439024,-1.718213,0.56391,-2.970297,-0.175131,0.681044,4.994687,1.30719,-1.503759,-7.68527,19.928826,0.824499,0.881057,-3.61861,-1.845958,-1.778386,-4.845361,-0.417711,4.615385,1.225741,0.909091,-0.363967,-2.153625,-0.073368,2.956393,1.351351,2.423113,6.818182,-1.118707,2.24359,4.951857,-2.269044,-2.81457,-1.282051,-1.479047,-2.549812,-2.505812,1.557228,-1.80681,1.479714,-0.493178,1.284869,0.70338,-0.587571,3.713041
A P L Apollo Tubes Ltd.,-3.682984,-2.810482,3.768844,-0.647103,-1.887654,3.426238,0.144904,-1.408235,1.005322,-1.411926,2.725033,7.677827,2.615149,-1.018307,0.715516,-0.886744,0.699953,0.15021,-1.719335,3.554292,-0.806878,-1.027547,-0.592082,-1.127155,-0.132275,-0.903936,-0.142578,1.935027,1.207202,4.208633,-3.026832,3.049222,0.142232,0.081293,-1.919681,-0.881931,1.711,-0.224569,0.836452,-0.525016,0.223136,-0.434885,0.320185,1.912287,0.161571,-4.961646,0.073121,0.699442,0.242131,-0.757495,-0.462685,0.849726,-0.106932,-5.175642,0.082727,0.474597,4.784388,-0.045013,3.719884,-0.469403,2.761609,-0.335117,-0.60584,2.778085,4.824995,-1.343327,-1.40133,0.19515,2.157177,-2.289716,-1.85087,1.821375,13.307427,7.458671,1.696136,1.089971,-1.182228,1.05843,1.43394,6.289813,5.704196,-1.451087,0.93625,0.484183,-2.097508,0.254267,3.359026,-2.558665,0.917933,-0.922298,-0.645722,2.758007,0.205462,6.598421,1.753336,-1.459893,1.522893,5.754909,-3.200273,3.581879,-1.307292,1.984575,0.083484,4.28126,-2.189977,0.704442,-4.139126,0.441648,-0.516129,1.889163,-0.971095,3.59406,2.354702,0.327221,-2.397506,2.213676,-0.456651,0.276814,5.793683,1.416901,0.070687,-1.849014,1.052563,0.910264,-2.737402,3.377056,1.944417,3.297003,3.048921,2.279965,0.045192,-0.382078
A R S S Infrastructure Projects Ltd.,-4.982206,-2.402746,4.951299,4.985337,-4.968944,0,4.299754,4.986877,0.268097,-1.485149,-2.705515,-2.259887,-1.923077,19.854281,1.147228,-1.138211,1.538462,0.308166,-1.183432,19.881306,-0.312826,2.70636,-1.788618,-1.343284,9.55335,-3.023256,-3.541417,-5.993521,13.092269,0.857843,1.572898,1.361032,2.889246,-2.910603,1.895735,-1.659452,1.061836,-0.533944,-1.220442,0.31348,-2.248127,-2.492522,2.44898,20,0.774527,2.797203,-1.606426,4.951691,-4.26009,4.385965,3.745318,4.868154,4.313725,-3.488372,0.434783,6.525573,4.930663,-1.935484,4.910714,-3.738318,-2.806361,-3.613054,-0.921053,-4.166667,-3.294118,-4.979253,1.443299,1.356589,4.30622,1.25,-1.048951,5.263158,3.422053,-1.287554,4.83871,2.390438,3.703704,2.255639,4.621849,4.938272,4.854369,4.60251,-0.656455,-2.331606,3.05499,-6.677019,0,-3.963415,-2.54372,0,-1.132075,1.848429,7.234727,-1.810585,-1.438849,-4.417671,-2.608696,-2.822581,-0.674157,-2.58216,0.478469,2.392344,-0.493827,1.442308,-4.716981,4.896907,4.603581,-3.896104,-4.91453,-4.958678,-3.170732,-0.268817,-1.023018,2.040816,-0.526316,-4.98008,-4.878049,-4.904051,-0.508906,-2.197802,-0.45045,4.313725,-5.039439,-2.9693,-0.881743,-0.138122,4.659289,-1.304802,4.987427,-4.971319,-3.23049,2.267072
A V T Natural Products Ltd.,14.14914,-6.437768,1.123596,-2.237927,-2.121212,2.415966,0.242718,-0.374532,0,-3.960396,-0.620155,2.091255,-0.469484,-10.313901,6.055646,4.51895,0.483871,0,-1.726845,1.141227,0.270636,-2.608696,-2.578269,0.720721,0.452489,-5.115512,0.796178,1.333333,-1.470588,7.549858,0.95498,4.472843,-0.491803,0,0.264201,4.533333,5.982906,-0.606061,1.003764,-0.968523,0.127065,0.634518,-0.935673,2.444208,0.422297,-1.716738,-2.542373,-1.742627,-1.963351,-2.773925,3.75817,3.912363,0.154321,-6.271777,0,0.185529,-0.556586,3.097345,0.808081,0.18797,-1.449275,-1.01626,0.616016,-2.12766,0.70922,1.101322,0.594059,-0.169779,-2.208202,-3.786816,-5.913272,4.415011,-2.607362,-3.936039,0.126582,-2.32859,-6.951872,-0.110132,-0.570776,-0.428266,0.620476,-2.050114,-0.895857,1.580135,-2.263374,-0.850735,-8.132726,0.965251,-2.709848,1.17284,-3.372093,-1.132578,1.505236,1.091571,4.545455,6.663941,-5.364627,-0.262881,-0.211752,-0.917927,2.423655,-0.300752,-1.858407,0.606626,-0.280374,1.604555,-1.267281,-0.935745,1.239669,-3.055556,0.381888,0.117233,-0.605694,-0.245851,-1.421801,-0.112108,1.833333,0.21751,0.7996,1.204819,0.114745,0.119474,-0.732047,-0.067797,-0.738408,-0.18336,1.682311,0.328739,0.11984,-2.419146,-6.159785,-0.990462
Aarti Drugs Ltd.,-1.010101,2.151496,-0.973145,1.010918,-0.020221,0.162296,1.984183,-0.451297,8.216661,5.257637,0.190204,-0.695187,1.896138,2.957757,1.681145,-4.511681,-0.837843,2.714469,-1.880629,-0.094275,0.354012,-0.302973,-0.602604,0.937395,0.534131,0.216403,1.863893,-2.153619,-0.530721,4.282475,0.819672,1.325178,-0.115445,-0.249597,-1.420361,0.902322,-2.946703,-0.667077,0.32539,0.026516,0.194118,0.510696,-0.545539,-0.153651,2.093449,-2.686079,-0.546629,-1.947486,-1.830938,0.028874,5.855942,-0.178428,1.286731,-3.994057,3.255936,0.036183,0.409194,-0.389006,0.101902,-1.673995,-0.807612,-1.043115,-0.234984,-2.745634,1.195782,-1.454782,-0.018586,-0.182359,0.721551,-0.791088,-9.364986,3.035897,-2.174805,3.77862,0.074827,1.906072,-7.468313,4.995916,0.80681,4.295508,0.220296,-1.965352,-0.73165,-1.962722,-1.224348,0.539084,-0.070621,0.375996,1.448917,-0.246386,-0.989178,0.705485,4.247178,1.175643,-2.513638,-0.313625,-0.539142,0.04702,0.811283,3.253636,-0.092614,1.045484,2.688806,0.066284,2.006429,-0.619579,-0.190736,0.074074,0.405583,-1.120543,1.031824,1.528217,-1.792914,0.258708,1.098309,-1.534424,-0.851236,2.371465,-0.619133,-1.474592,-0.493048,-1.821925,0.19859,0.137363,-0.256717,-0.223583,-0.113472,0.52356,-0.140983,-0.625077,-5.027706,-3.625035
Aarti Industries Ltd.,0.152614,1.1875,1.629073,0,-3.156805,0.850371,4.666324,1.319958,-2.907201,-0.017562,-0.671141,0.45819,-2.668735,1.501837,1.204819,2.515029,-0.969626,6.390178,-0.330932,-2.447896,-0.409329,0.561282,-0.035199,-2.12665,-0.699888,0.376884,-0.724707,-0.412704,-1.314217,2.442849,0.1321,-0.418985,0.757576,-0.807844,-1.659461,1.639671,-0.039857,0.576978,1.164138,-1.249556,2.776134,1.339159,2.433783,-0.027417,6.051253,2.731736,1.448586,0.109118,1.323629,0.346718,2.144282,-1.551696,-0.434468,-2.20053,3.019362,-1.326278,1.583169,1.565038,-0.272616,1.440283,-0.891739,1.443651,-0.238456,2.174113,0.35944,-1.549244,0.706612,-0.489502,-0.835571,0.94272,-1.424027,5.250515,-0.586166,-0.747331,0.740901,2.594914,-3.588847,0.054219,-1.224147,4.16554,1.262916,1.755541,-0.052604,-1.587361,3.076528,0.996478,0.90283,4.516995,0.530461,-0.831867,-1.627468,1.214837,2.18696,-0.489035,-0.771415,1.560592,0.288005,-6.213401,-0.548004,2.174198,2.549225,1.526197,1.040613,0.739192,-0.130954,1.222954,-1.415929,1.369461,1.49833,-0.097504,-0.425111,1.487029,0.398081,1.18398,-0.623223,-0.876173,1.555538,4.032831,1.148805,1.109001,-1.80699,0.098192,-0.138242,0.814486,-0.262446,-0.077134,-0.32192,-0.011152,-0.012192,1.52968,-5.014526,-1.201011
Aban Offshore Ltd.,1.351085,-0.169276,1.426857,2.230335,-1.732982,-2.442233,5.236529,-5.366571,-1.182033,-4.46718,-0.106022,0.803783,-1.875,-0.961052,-0.263505,0.890008,-2.499508,-0.282302,-3.023105,-1.176471,0.420261,1.948225,-2.308172,0.541311,3.857916,-1.10664,0.928129,-0.78634,-0.688863,2.405858,-0.130768,9.026183,0.545019,-2.111402,1.446501,1.396082,0.156215,-2.27021,-0.66313,0.51757,-0.056417,-0.546747,-1.108374,-0.878294,-0.098449,-1.17096,-1.898734,-3.178484,0.66149,-3.08642,0.357462,0.227376,-0.302115,-6.477273,1.016949,0.536193,-0.466045,1.358491,1.153846,-1.12069,-4.964539,-4.091342,4.887218,-3.559322,-1.86722,-4.891304,4.696673,0.95057,-0.580271,-1.926782,-6.25,0.719424,2.506266,1.396648,9.90099,-3.112033,-4.745167,-1.25,0.886918,4.130809,-0.521739,-0.735294,-4.946996,0,4.857621,-1.655172,4.953917,-2.33298,-1.38191,-0.699301,-2.26087,-0.107875,4.904051,-0.625,0.940071,-0.538793,0.413907,3.131524,-2.850877,0.899888,-1.110162,1.297405,-0.894632,-1.013171,-0.4111,1.533406,2.570694,0.150602,0.508906,-1.261034,0.882724,4.924242,-1.886792,2.222222,0.392157,-0.198807,-0.285714,-5.875642,-2.695035,1.842375,-2.614379,-0.165017,1.976346,4.972376,4.987819,-0.884488,-0.378903,0.950748,2.308313,-0.298097,-2.917772,0.081345
Abbott India Ltd.,0.949875,-1.344132,1.006813,0.755504,-0.654988,1.687852,0.333501,-0.721564,0.209406,-0.36457,0.442326,0.105105,3.702973,1.832157,0.115677,-1.493494,0.419346,0.66082,1.156405,0.242061,3.197699,-0.255991,-0.295809,-0.783367,-0.189702,-1.081678,0.773908,0.856945,-0.410256,2.901788,0.021006,-0.024475,1.90988,-0.21423,-0.747231,1.811404,0.771035,0.669863,1.192464,3.928125,-2.059376,2.289458,-0.408375,3.854485,0.548701,2.049128,-1.944682,1.668702,0.355649,-0.927733,-0.926648,-0.253049,4.698438,-0.445039,5.978969,0.742657,0.611703,0.346296,0.880275,0.411002,-0.618011,-0.756048,-0.298948,-1.498092,0.639129,-0.863053,-1.242189,-1.292464,-0.918787,-0.141812,-2.880118,1.582136,-1.452582,0.778585,0.060406,4.230233,-2.610304,0.517925,0.911945,0.292429,0.900284,-2.428642,0.257097,-0.684384,1.030189,-0.454904,1.642041,4.500397,0.701753,4.919257,0.161112,-0.369037,0.535034,-0.021451,1.016698,2.468989,-1.032281,-0.972935,-1.223622,1.279203,-0.139881,-0.218705,1.777556,0.338381,-1.652383,-0.803642,-1.806402,1.354154,0.67683,-1.435982,0.934606,0.035952,-1.087587,3.615451,-0.302912,1.135833,1.005804,1.561431,-0.61447,1.534009,0.595102,-0.397253,0.900924,0.765188,0.707551,-0.362638,2.012891,1.260487,-0.20887,0.16801,1.441408,0.495271
